method,rate,scene,fid,cmmd,n_fake_crops,n_ref_crops
3DCR,high,bicycle,2.8643161977556453,0.2536773681640625,250,250
3DCR,high,bonsai,2.9331109416688648,0.6756782531738281,370,370
3DCR,high,counter,4.925990235982141,0.4507303237915039,300,300
3DCR,high,flowers,6.861928805248091,0.48339366912841797,220,220
3DCR,high,garden,2.19079967101014,0.36585330963134766,240,240
3DCR,high,kitchen,2.8917819721103406,0.2783536911010742,290,290
3DCR,low,bicycle,3.9938533820775213,0.3631114959716797,250,250
3DCR,low,bonsai,4.854787130088045,1.4088153839111328,370,370
3DCR,low,counter,7.657656913945601,0.9577274322509766,300,300
3DCR,low,flowers,9.048483486668783,0.706791877746582,220,220
3DCR,low,garden,3.921700942618642,0.7467269897460938,240,240
3DCR,low,kitchen,4.481077114598399,0.6268024444580078,290,290
3DCR,mid,bicycle,3.2621704567421332,0.31816959381103516,250,250
3DCR,mid,bonsai,3.6910551447403535,0.8243322372436523,370,370
3DCR,mid,counter,5.6706978985492285,0.567317008972168,300,300
3DCR,mid,flowers,7.30772885237986,0.5543231964111328,220,220
3DCR,mid,garden,2.976098262892865,0.5370378494262695,240,240
3DCR,mid,kitchen,3.4060129793628597,0.39756298065185547,290,290
Orig,high,bicycle,9.812412899074456,0.742793083190918,250,250
Orig,high,bonsai,8.420653049368013,0.9783506393432617,370,370
Orig,high,counter,11.0003611256003,0.9287595748901367,300,300
Orig,high,flowers,29.180093613463914,1.7048120498657227,220,220
Orig,high,garden,5.225909894941253,0.954747200012207,240,240
Orig,high,kitchen,4.597208172285402,0.635981559753418,290,290
Orig,low,bicycle,24.70393418512173,1.668691635131836,250,250
Orig,low,bonsai,12.89042363004026,1.6887187957763672,370,370
Orig,low,counter,16.91696554380644,1.7219781875610352,300,300
Orig,low,flowers,40.56176796722268,2.983689308166504,220,220
Orig,low,garden,16.49027058792739,1.4522075653076172,240,240
Orig,low,kitchen,9.296910668706182,0.8344650268554688,290,290
Orig,mid,bicycle,15.162946019040774,0.9856224060058594,250,250
Orig,mid,bonsai,10.384724249252326,1.3071298599243164,370,370
Orig,mid,counter,13.333554834396903,1.2038946151733398,300,300
Orig,mid,flowers,32.71699799850343,2.271413803100586,220,220
Orig,mid,garden,8.97176545476287,0.986933708190918,240,240
Orig,mid,kitchen,6.397816885417093,0.6997585296630859,290,290
wdr_pw,high,bicycle,3.958359076510696,0.2853870391845703,250,250
wdr_pw,high,bonsai,3.185401049257912,0.5466938018798828,370,370
wdr_pw,high,counter,5.363406568054593,0.3720521926879883,300,300
wdr_pw,high,flowers,8.704571997705393,0.5750656127929688,220,220
wdr_pw,high,garden,2.5890736294162906,0.1615285873413086,240,240
wdr_pw,high,kitchen,2.8095428651146825,0.20956993103027344,290,290
wdr_pw,low,bicycle,6.058658462439176,0.5006790161132812,250,250
wdr_pw,low,bonsai,5.5825221648619845,0.8132457733154297,370,370
wdr_pw,low,counter,7.645381318024604,0.6864070892333984,300,300
wdr_pw,low,flowers,12.588238641139988,0.8928775787353516,210,220
wdr_pw,low,garden,4.482638386723643,0.4038810729980469,240,240
wdr_pw,low,kitchen,4.836221183085819,0.3980398178100586,290,290
wdr_pw,mid,bicycle,4.815400619107226,0.3682374954223633,250,250
wdr_pw,mid,bonsai,4.2590241104048445,0.6592273712158203,360,370
wdr_pw,mid,counter,6.605985527436346,0.5500316619873047,300,300
wdr_pw,mid,flowers,9.906155099654676,0.7128715515136719,220,220
wdr_pw,mid,garden,3.585224955554807,0.28502941131591797,240,240
wdr_pw,mid,kitchen,3.573841596652869,0.23877620697021484,290,290
