method,rate,group,fid_mean,cmmd_mean,n_scenes
3DCR,high,all9,3.7779879706292037,0.41794776916503906,6
3DCR,high,indoor,3.5836277165871153,0.46825408935546875,3
3DCR,high,outdoor,3.972348224671292,0.3676414489746094,3
3DCR,low,all9,5.659593161666166,0.8016626040140787,6
3DCR,low,indoor,5.664507052877348,0.9977817535400391,3
3DCR,low,outdoor,5.654679270454982,0.6055434544881185,3
3DCR,mid,all9,4.385627265777884,0.5331238110860189,6
3DCR,mid,indoor,4.255922007550814,0.5964040756225586,3
3DCR,mid,outdoor,4.515332524004953,0.4698435465494792,3
Orig,high,all9,11.372773125788889,0.990907351175944,6
Orig,high,indoor,8.006074115751238,0.8476972579956055,3
Orig,high,outdoor,14.73947213582654,1.1341174443562825,3
Orig,low,all9,20.14337876380411,1.7249584197998047,6
Orig,low,indoor,13.034766614184294,1.4150540033976238,3
Orig,low,outdoor,27.251990913423935,2.034862836201986,3
Orig,mid,all9,14.4946342402289,1.2424588203430176,6
Orig,mid,indoor,10.038698656355441,1.070261001586914,3
Orig,mid,outdoor,18.95056982410236,1.414656639099121,3
wdr_pw,high,all9,4.435059197676595,0.3583828608194987,6
wdr_pw,high,indoor,3.786116827475729,0.37610530853271484,3
wdr_pw,high,outdoor,5.08400156787746,0.34066041310628253,3
wdr_pw,low,all9,6.865610026045869,0.6158550580342611,6
wdr_pw,low,indoor,6.021374888657469,0.6325642267862955,3
wdr_pw,low,outdoor,7.709845163434269,0.5991458892822266,3
wdr_pw,mid,all9,5.457605318135127,0.46902894973754883,6
wdr_pw,mid,indoor,4.8129504114980195,0.4826784133911133,3
wdr_pw,mid,outdoor,6.102260224772237,0.4553794860839844,3
