method,rate,group,fid_mean,cmmd_mean,n_scenes
3DCR,high,all9,27.303309542912938,0.20297368367513022,6
3DCR,high,indoor,29.971875335561474,0.19089380900065103,3
3DCR,high,outdoor,24.634743750264402,0.21505355834960938,3
3DCR,low,all9,38.94966339364297,0.41490793228149414,6
3DCR,low,indoor,44.129092955821285,0.3872315088907878,3
3DCR,low,outdoor,33.77023383146466,0.4425843556722005,3
3DCR,mid,all9,31.730821167832516,0.2776185671488444,6
3DCR,mid,indoor,35.01977007775465,0.24692217508951822,3
3DCR,mid,outdoor,28.441872257910386,0.3083149592081706,3
Orig,high,all9,59.91353415979904,0.5470911661783854,6
Orig,high,indoor,54.874100551929054,0.4744132359822591,3
Orig,high,outdoor,64.95296776766902,0.6197690963745117,3
Orig,low,all9,100.94901697279211,1.1386871337890625,6
Orig,low,indoor,83.955433608381,0.8596181869506836,3
Orig,low,outdoor,117.9426003372032,1.4177560806274414,3
Orig,mid,all9,76.5695531116371,0.7818937301635742,6
Orig,mid,indoor,67.26480520300724,0.6450414657592773,3
Orig,mid,outdoor,85.87430102026697,0.9187459945678711,3
wdr_pw,high,all9,29.8264133449107,0.1848141352335612,6
wdr_pw,high,indoor,30.668301058497605,0.17277399698893228,3
wdr_pw,high,outdoor,28.984525631323795,0.1968542734781901,3
wdr_pw,low,all9,43.874840804063986,0.39128462473551434,6
wdr_pw,low,indoor,46.075667646142485,0.29397010803222656,3
wdr_pw,low,outdoor,41.67401396198549,0.48859914143880206,3
wdr_pw,mid,all9,35.89864015806481,0.2542336781819661,6
wdr_pw,mid,indoor,37.65130781302071,0.22498766581217447,3
wdr_pw,mid,outdoor,34.14597250310891,0.2834796905517578,3
