method,rate,scene,fid,cmmd,n_fake_patches,n_ref_patches
HAC_ori,high,bicycle,47.3849570042226,0.4382133483886719,975,975
HAC_ori,high,bonsai,45.75477969006664,0.4546642303466797,1443,1443
HAC_ori,high,counter,75.16270232642455,0.6291866302490234,1170,1170
HAC_ori,high,flowers,105.4582722753259,1.2581348419189453,858,858
HAC_ori,high,garden,49.32256979026033,0.2472400665283203,936,936
HAC_ori,high,kitchen,33.26138086365319,0.20134449005126953,1365,1365
HAC_ori,high,room,53.5590313307751,0.476837158203125,1521,1521
HAC_ori,high,stump,56.707319868033636,0.9120702743530273,624,624
HAC_ori,high,treehill,117.65875504081595,1.1130571365356445,702,702
HAC_ori,low,bicycle,91.63028570966827,1.2415647506713867,975,975
HAC_ori,low,bonsai,66.19355882704451,0.6737709045410156,1443,1443
HAC_ori,low,counter,116.68876934364494,1.3172626495361328,1170,1170
HAC_ori,low,flowers,145.74718324235477,1.7830133438110352,858,858
HAC_ori,low,garden,131.02491063207145,1.307368278503418,936,936
HAC_ori,low,kitchen,61.50233819474579,0.46002864837646484,1365,1365
HAC_ori,low,room,88.08930526837884,0.8417367935180664,1521,1521
HAC_ori,low,stump,115.53912452371509,1.4439821243286133,624,624
HAC_ori,low,treehill,195.0275536136292,1.6369819641113281,702,702
HAC_ori,mid,bicycle,57.97966859285435,0.5768537521362305,975,975
HAC_ori,mid,bonsai,49.2378075129202,0.5006790161132812,1443,1443
HAC_ori,mid,counter,83.03316995609202,0.7755756378173828,1170,1170
HAC_ori,mid,flowers,114.25593599938526,1.4119148254394531,858,858
HAC_ori,mid,garden,65.44015881505618,0.39398670196533203,936,936
HAC_ori,mid,kitchen,38.553766316987605,0.240325927734375,1365,1365
HAC_ori,mid,room,62.24790949518814,0.5501508712768555,1521,1521
HAC_ori,mid,stump,73.39597986458381,1.0477304458618164,624,624
HAC_ori,mid,treehill,147.32537725733982,1.2573003768920898,702,702
