method,rate,scene,fid,cmmd,n_fake_crops,n_ref_crops
HACplus+CR,high,bicycle,2.812257101472621,0.2466440200805664,250,250
HACplus+CR,high,bonsai,2.685795943027003,0.9212493896484375,370,370
HACplus+CR,high,counter,4.508865931351227,0.3839731216430664,300,300
HACplus+CR,high,flowers,7.138069988817222,0.649571418762207,220,220
HACplus+CR,high,garden,2.110961540267599,0.5068778991699219,240,240
HACplus+CR,high,kitchen,2.600295970339289,0.24390220642089844,350,350
HACplus+CR,high,room,4.333048246163074,0.3654956817626953,390,390
HACplus+CR,high,stump,5.2935451814980325,0.5518198013305664,160,160
HACplus+CR,high,treehill,7.457965187786861,0.6058216094970703,180,180
HACplus+CR,low,bicycle,3.8497847248284813,0.48851966857910156,250,250
HACplus+CR,low,bonsai,3.902606916694456,1.5103816986083984,370,370
HACplus+CR,low,counter,6.724035210268919,0.9423494338989258,300,300
HACplus+CR,low,flowers,9.994446246103394,0.9255409240722656,220,220
HACplus+CR,low,garden,3.773544669297884,0.756382942199707,240,240
HACplus+CR,low,kitchen,3.7785369815991423,0.5426406860351562,350,350
HACplus+CR,low,room,6.321053754718818,0.6043910980224609,390,390
HACplus+CR,low,stump,6.091044317602069,0.681757926940918,160,160
HACplus+CR,low,treehill,11.596591072106477,0.9779930114746094,180,180
HACplus+CR,mid,bicycle,2.866270491972127,0.2868175506591797,250,250
HACplus+CR,mid,bonsai,2.9496416197007704,1.2382268905639648,370,370
HACplus+CR,mid,counter,6.482263516040462,0.5004405975341797,300,300
HACplus+CR,mid,flowers,7.746961583741744,0.7750988006591797,220,220
HACplus+CR,mid,garden,2.4570708512118102,0.5738735198974609,240,240
HACplus+CR,mid,kitchen,2.8009941549146156,0.3094673156738281,350,350
HACplus+CR,mid,room,4.937508681692314,0.40459632873535156,390,390
HACplus+CR,mid,stump,5.132033781423669,0.5508661270141602,160,160
HACplus+CR,mid,treehill,7.972356434606127,0.7711648941040039,180,180
