method,rate,scene,fid,cmmd,n_fake_crops,n_ref_crops
HACplus+CR,high,bicycle,7.751433331955553,0.04506111145019531,250,250
HACplus+CR,high,bonsai,12.811647959350864,0.062465667724609375,370,370
HACplus+CR,high,counter,22.441340706957533,0.02372264862060547,300,300
HACplus+CR,high,flowers,22.87543565110451,0.06461143493652344,220,220
HACplus+CR,high,garden,9.727776660150397,0.005364418029785156,240,240
HACplus+CR,high,kitchen,9.878903288406605,0.01811981201171875,350,350
HACplus+CR,high,room,13.486232957649008,0.034332275390625,390,390
HACplus+CR,high,stump,34.23520028211115,0.043511390686035156,160,160
HACplus+CR,high,treehill,14.586804905711944,0.05435943603515625,180,180
HACplus+CR,low,bicycle,9.455158819880552,0.05817413330078125,250,250
HACplus+CR,low,bonsai,18.136481421000667,0.10073184967041016,370,370
HACplus+CR,low,counter,31.276001761651685,0.09107589721679688,300,300
HACplus+CR,low,flowers,28.38156216317276,0.10955333709716797,220,220
HACplus+CR,low,garden,13.132289276991969,0.032782554626464844,240,240
HACplus+CR,low,kitchen,15.956326912413317,0.04124641418457031,350,350
HACplus+CR,low,room,20.375771249326476,0.07426738739013672,390,390
HACplus+CR,low,stump,38.98042591672828,0.09751319885253906,160,160
HACplus+CR,low,treehill,21.175604858178332,0.1131296157836914,180,180
HACplus+CR,mid,bicycle,8.313331516148821,0.03933906555175781,250,250
HACplus+CR,mid,bonsai,14.00480569760856,0.07414817810058594,370,370
HACplus+CR,mid,counter,30.967874749311136,0.047206878662109375,300,300
HACplus+CR,mid,flowers,24.972913315781767,0.06687641143798828,220,220
HACplus+CR,mid,garden,10.918940406609352,0.008702278137207031,240,240
HACplus+CR,mid,kitchen,11.156567801949876,0.02372264862060547,350,350
HACplus+CR,mid,room,15.054156857171847,0.04017353057861328,390,390
HACplus+CR,mid,stump,32.84738968257554,0.04029273986816406,160,160
HACplus+CR,mid,treehill,15.725906753320231,0.05888938903808594,180,180
