method,rate,scene,fid,cmmd,n_fake_patches,n_ref_patches
HACplus+CR,high,bicycle,21.135051358578494,0.14495849609375,975,975
HACplus+CR,high,bonsai,20.32687507783453,0.16570091247558594,1443,1443
HACplus+CR,high,counter,40.48936783402473,0.22876262664794922,1170,1170
HACplus+CR,high,flowers,35.176821194537865,0.42510032653808594,858,858
HACplus+CR,high,garden,19.505906297798333,0.19097328186035156,936,936
HACplus+CR,high,kitchen,21.146914016190067,0.09465217590332031,1365,1365
HACplus+CR,high,room,25.593325792670157,0.1424551010131836,1521,1521
HACplus+CR,high,stump,25.473048923304447,0.4112720489501953,624,624
HACplus+CR,high,treehill,29.69186306694229,0.3477334976196289,702,702
HACplus+CR,low,bicycle,26.768637828135468,0.2703666687011719,975,975
HACplus+CR,low,bonsai,28.371000319849486,0.2671480178833008,1443,1443
HACplus+CR,low,counter,57.23865550965297,0.5197525024414062,1170,1170
HACplus+CR,low,flowers,44.87837753060887,0.6898641586303711,858,858
HACplus+CR,low,garden,31.963618355631695,0.4100799560546875,936,936
HACplus+CR,low,kitchen,30.899597207366924,0.1825094223022461,1365,1365
HACplus+CR,low,room,35.01320685205462,0.27060508728027344,1521,1521
HACplus+CR,low,stump,29.497010375569687,0.7405281066894531,624,624
HACplus+CR,low,treehill,46.014712774126394,0.6769895553588867,702,702
HACplus+CR,mid,bicycle,21.803963899431494,0.1659393310546875,975,975
HACplus+CR,mid,bonsai,21.998511501105156,0.1838207244873047,1443,1443
HACplus+CR,mid,counter,53.089183272800824,0.30362606048583984,1170,1170
HACplus+CR,mid,flowers,36.12615033617817,0.48422813415527344,858,858
HACplus+CR,mid,garden,22.14609937220564,0.33295154571533203,936,936
HACplus+CR,mid,kitchen,22.727454835763353,0.09989738464355469,1365,1365
HACplus+CR,mid,room,27.978100763884186,0.1722574234008789,1521,1521
HACplus+CR,mid,stump,26.024487897610697,0.49316883087158203,624,624
HACplus+CR,mid,treehill,33.26880956504999,0.4297494888305664,702,702
