method,scene,fid,cmmd,n_fake_patches,n_ref_patches
perceptual,bicycle,24.41277662372636,0.12242794036865234,975,975
perceptual,bonsai,36.521816504685034,0.3113746643066406,1443,1443
perceptual,counter,54.449140625893165,0.3129243850708008,1170,1170
perceptual,flowers,49.376075818638355,0.3802776336669922,858,858
perceptual,garden,24.89860280955952,0.09655952453613281,936,936
perceptual,kitchen,25.358387875000403,0.1308917999267578,1365,1365
perceptual,room,37.34707812848137,0.31435489654541016,1521,1521
perceptual,stump,24.21765269904182,0.5288124084472656,624,624
perceptual,treehill,50.04580812431209,0.4442930221557617,702,702
perceptual_3dcr,bicycle,21.461071412761953,0.13113021850585938,975,975
perceptual_3dcr,bonsai,19.513714664037252,0.13780593872070312,1443,1443
perceptual_3dcr,counter,36.01328065170492,0.10335445404052734,1170,1170
perceptual_3dcr,flowers,30.88865571399606,0.2714395523071289,858,858
perceptual_3dcr,garden,16.542200080389875,0.14162063598632812,936,936
perceptual_3dcr,kitchen,20.055083510357917,0.07677078247070312,1365,1365
perceptual_3dcr,room,23.627992904613393,0.0833272933959961,1521,1521
perceptual_3dcr,stump,22.9894060610701,0.37419795989990234,624,624
perceptual_3dcr,treehill,36.37528702951954,0.3834962844848633,702,702
