method,scene,fid,cmmd,n_fake_patches,n_ref_patches
perceptual,bicycle,21.920877912007825,0.12159347534179688,975,975
perceptual,bonsai,31.886837049133078,0.29838085174560547,1443,1443
perceptual,counter,41.81252032386118,0.2561807632446289,1170,1170
perceptual,flowers,55.54223970376739,0.2865791320800781,858,858
perceptual,garden,20.107045093131035,0.1112222671508789,936,936
perceptual,kitchen,20.45107747884788,0.11801719665527344,1365,1365
perceptual,room,38.0535932986071,0.3019571304321289,1521,1521
perceptual,stump,29.387650367413528,0.4564523696899414,624,624
perceptual,treehill,68.50974205947608,0.40471553802490234,702,702
perceptual_3dcr,bicycle,18.617169841241207,0.1513957977294922,975,975
perceptual_3dcr,bonsai,14.828593500113072,0.18072128295898438,1443,1443
perceptual_3dcr,counter,25.32036540057794,0.1417398452758789,1170,1170
perceptual_3dcr,flowers,30.327263779902125,0.2771615982055664,858,858
perceptual_3dcr,garden,11.92477399475706,0.09644031524658203,936,936
perceptual_3dcr,kitchen,16.284077373812295,0.09012222290039062,1365,1365
perceptual_3dcr,room,21.06137109055851,0.11074542999267578,1521,1521
perceptual_3dcr,stump,25.581692810153925,0.35309791564941406,624,624
perceptual_3dcr,treehill,45.600717122205936,0.40984153747558594,702,702
