method,scene,fid,cmmd,n_fake_crops,n_ref_crops
perceptual,bicycle,3.433018769815064,0.27823448181152344,250,250
perceptual,bonsai,6.347325502413405,0.6556510925292969,370,370
perceptual,counter,6.956532458302341,0.5761384963989258,300,300
perceptual,flowers,11.539321549957108,0.47397613525390625,220,220
perceptual,garden,2.7047575651292277,0.7575750350952148,240,240
perceptual,kitchen,3.238002064374804,0.4938840866088867,350,350
perceptual,room,8.30808723773196,0.4445314407348633,390,390
perceptual,stump,4.655589059642114,0.6910562515258789,160,160
perceptual,treehill,15.358168568411543,0.6096363067626953,180,180
perceptual_3dcr,bicycle,2.957989035675169,0.27871131896972656,250,250
perceptual_3dcr,bonsai,2.6890099380788683,0.5522966384887695,370,370
perceptual_3dcr,counter,3.7323768003098934,0.2824068069458008,300,300
perceptual_3dcr,flowers,6.546129181599486,0.31769275665283203,220,220
perceptual_3dcr,garden,1.795787172660507,0.30303001403808594,240,240
perceptual_3dcr,kitchen,2.5513530701986156,0.18537044525146484,350,350
perceptual_3dcr,room,4.0412808137419205,0.244140625,390,390
perceptual_3dcr,stump,4.342521804426795,0.4246234893798828,160,160
perceptual_3dcr,treehill,9.791163957151674,0.5692243576049805,180,180
