method,rate,scene,cmmd,n_fake,n_ref
3DCR,high,bicycle,0.04482269287109375,25,25
3DCR,high,bonsai,0.058770179748535156,37,37
3DCR,high,counter,0.03337860107421875,30,30
3DCR,high,flowers,0.07975101470947266,22,22
3DCR,high,garden,0.007271766662597656,24,24
3DCR,high,kitchen,0.012278556823730469,35,35
3DCR,high,room,0.03445148468017578,39,39
3DCR,high,stump,0.07712841033935547,16,16
3DCR,high,treehill,0.102996826171875,18,18
3DCR,low,bicycle,0.06699562072753906,25,25
3DCR,low,bonsai,0.12278556823730469,37,37
3DCR,low,counter,0.06890296936035156,30,30
3DCR,low,flowers,0.1538991928100586,22,22
3DCR,low,garden,0.019431114196777344,24,24
3DCR,low,kitchen,0.06783008575439453,35,35
3DCR,low,room,0.0978708267211914,39,39
3DCR,low,stump,0.179290771484375,16,16
3DCR,low,treehill,0.19991397857666016,18,18
3DCR,mid,bicycle,0.06079673767089844,25,25
3DCR,mid,bonsai,0.08606910705566406,37,37
3DCR,mid,counter,0.03814697265625,30,30
3DCR,mid,flowers,0.08547306060791016,22,22
3DCR,mid,garden,0.010728836059570312,24,24
3DCR,mid,kitchen,0.049591064453125,35,35
3DCR,mid,room,0.051140785217285156,39,39
3DCR,mid,stump,0.08058547973632812,16,16
3DCR,mid,treehill,0.10645389556884766,18,18
HAC_ori,high,bicycle,0.30791759490966797,25,25
HAC_ori,high,bonsai,0.2111196517944336,37,37
HAC_ori,high,counter,0.17392635345458984,30,30
HAC_ori,high,flowers,1.0330677032470703,22,22
HAC_ori,high,garden,0.07832050323486328,24,24
HAC_ori,high,kitchen,0.1385211944580078,35,35
HAC_ori,high,room,0.15485286712646484,39,39
HAC_ori,high,stump,0.36084651947021484,16,16
HAC_ori,high,treehill,0.7671117782592773,18,18
HAC_ori,low,bicycle,0.6543397903442383,25,25
HAC_ori,low,bonsai,0.4627704620361328,37,37
HAC_ori,low,counter,0.4850625991821289,30,30
HAC_ori,low,flowers,1.7086267471313477,22,22
HAC_ori,low,garden,0.34356117248535156,24,24
HAC_ori,low,kitchen,0.27310848236083984,35,35
HAC_ori,low,room,0.48863887786865234,39,39
HAC_ori,low,stump,0.8503198623657227,16,16
HAC_ori,low,treehill,1.3546943664550781,18,18
HAC_ori,mid,bicycle,0.34034252166748047,25,25
HAC_ori,mid,bonsai,0.25475025177001953,37,37
HAC_ori,mid,counter,0.1920461654663086,30,30
HAC_ori,mid,flowers,1.2023448944091797,22,22
HAC_ori,mid,garden,0.11074542999267578,24,24
HAC_ori,mid,kitchen,0.1386404037475586,35,35
HAC_ori,mid,room,0.1850128173828125,39,39
HAC_ori,mid,stump,0.43642520904541016,16,16
HAC_ori,mid,treehill,0.8581876754760742,18,18
HACplus+CR,high,bicycle,0.07045269012451172,25,25
HACplus+CR,high,bonsai,0.05364418029785156,37,37
HACplus+CR,high,counter,0.030517578125,30,30
HACplus+CR,high,flowers,0.11527538299560547,22,22
HACplus+CR,high,garden,0.007033348083496094,24,24
HACplus+CR,high,kitchen,0.013589859008789062,35,35
HACplus+CR,high,room,0.029087066650390625,39,39
HACplus+CR,high,stump,0.06711483001708984,16,16
HACplus+CR,high,treehill,0.09965896606445312,18,18
HACplus+CR,low,bicycle,0.08285045623779297,25,25
HACplus+CR,low,bonsai,0.0896453857421875,37,37
HACplus+CR,low,counter,0.03707408905029297,30,30
HACplus+CR,low,flowers,0.19359588623046875,22,22
HACplus+CR,low,garden,0.030994415283203125,24,24
HACplus+CR,low,kitchen,0.0476837158203125,35,35
HACplus+CR,low,room,0.04887580871582031,39,39
HACplus+CR,low,stump,0.08881092071533203,16,16
HACplus+CR,low,treehill,0.15461444854736328,18,18
HACplus+CR,mid,bicycle,0.06330013275146484,25,25
HACplus+CR,mid,bonsai,0.06198883056640625,37,37
HACplus+CR,mid,counter,0.03921985626220703,30,30
HACplus+CR,mid,flowers,0.1093149185180664,22,22
HACplus+CR,mid,garden,0.007867813110351562,24,24
HACplus+CR,mid,kitchen,0.026464462280273438,35,35
HACplus+CR,mid,room,0.03170967102050781,39,39
HACplus+CR,mid,stump,0.06604194641113281,16,16
HACplus+CR,mid,treehill,0.10693073272705078,18,18
Orig,high,bicycle,0.3185272216796875,25,25
Orig,high,bonsai,0.24330615997314453,37,37
Orig,high,counter,0.21064281463623047,30,30
Orig,high,flowers,1.021742820739746,22,22
Orig,high,garden,0.08618831634521484,24,24
Orig,high,kitchen,0.17940998077392578,35,35
Orig,high,room,0.18227100372314453,39,39
Orig,high,stump,0.39076805114746094,16,16
Orig,high,treehill,0.7638931274414062,18,18
Orig,low,bicycle,0.9125471115112305,25,25
Orig,low,bonsai,0.596165657043457,37,37
Orig,low,counter,0.4862546920776367,30,30
Orig,low,flowers,1.8754005432128906,22,22
Orig,low,garden,0.6072521209716797,24,24
Orig,low,kitchen,0.3437995910644531,35,35
Orig,low,room,0.7064342498779297,39,39
Orig,low,stump,1.3687610626220703,16,16
Orig,low,treehill,1.6189813613891602,18,18
Orig,mid,bicycle,0.4146099090576172,25,25
Orig,mid,bonsai,0.3701448440551758,37,37
Orig,mid,counter,0.26547908782958984,30,30
Orig,mid,flowers,1.3326406478881836,22,22
Orig,mid,garden,0.1894235610961914,24,24
Orig,mid,kitchen,0.26726722717285156,35,35
Orig,mid,room,0.37729740142822266,39,39
Orig,mid,stump,0.8184909820556641,16,16
Orig,mid,treehill,1.003861427307129,18,18
