method,rate,cmmd,n_fake,n_ref
3DCR,high,0.010371208190917969,246,246
3DCR,low,0.024199485778808594,246,246
3DCR,mid,0.013113021850585938,246,246
HAC_ori,high,0.13184547424316406,246,246
HAC_ori,low,0.30934810638427734,246,246
HAC_ori,mid,0.15461444854736328,246,246
HACplus+CR,high,0.010848045349121094,246,246
HACplus+CR,low,0.017762184143066406,246,246
HACplus+CR,mid,0.012278556823730469,246,246
Orig,high,0.14889240264892578,246,246
Orig,low,0.4132986068725586,246,246
Orig,mid,0.23651123046875,246,246
