method,rate,scene,fid_patch,n_fake_patches,n_ref_patches
3DCR,high,bicycle,17.065236677747976,975,975
3DCR,high,bonsai,16.138872477349764,1443,1443
3DCR,high,counter,31.13616824317296,1170,1170
3DCR,high,flowers,33.27376505274253,858,858
3DCR,high,garden,14.382273323672393,936,936
3DCR,high,kitchen,17.08041588084285,1365,1365
3DCR,high,room,26.60786196544575,1521,1521
3DCR,high,stump,31.3074904048986,624,624
3DCR,high,treehill,30.570584662019485,702,702
3DCR,low,bicycle,23.602803209497836,975,975
3DCR,low,bonsai,26.098009682000793,1443,1443
3DCR,low,counter,45.71305964221892,1170,1170
3DCR,low,flowers,45.35067149844156,858,858
3DCR,low,garden,25.234664945731197,936,936
3DCR,low,kitchen,27.2977560661177,1365,1365
3DCR,low,room,35.32887301729795,1521,1521
3DCR,low,stump,39.88607964240268,624,624
3DCR,low,treehill,43.19361713247497,702,702
3DCR,mid,bicycle,20.086748054735324,975,975
3DCR,mid,bonsai,20.377574589569917,1443,1443
3DCR,mid,counter,35.17356160356769,1170,1170
3DCR,mid,flowers,37.486569884323444,858,858
3DCR,mid,garden,19.434774457167748,936,936
3DCR,mid,kitchen,20.945635750013935,1365,1365
3DCR,mid,room,28.75891647289376,1521,1521
3DCR,mid,stump,30.733885748359683,624,624
3DCR,mid,treehill,32.47612688496844,702,702
HAC_ori,high,bicycle,61.61771779288006,975,975
HAC_ori,high,bonsai,42.15814406439347,1443,1443
HAC_ori,high,counter,59.584115379993136,1170,1170
HAC_ori,high,flowers,146.81212515654363,858,858
HAC_ori,high,garden,44.55026758749608,936,936
HAC_ori,high,kitchen,27.3943378599821,1365,1365
HAC_ori,high,room,58.106877526708445,1521,1521
HAC_ori,high,stump,81.31076236643196,624,624
HAC_ori,high,treehill,168.7187401773188,702,702
HAC_ori,low,bicycle,150.79096788087986,975,975
HAC_ori,low,bonsai,64.80712173803647,1443,1443
HAC_ori,low,counter,96.44031652646203,1170,1170
HAC_ori,low,flowers,207.89185889043318,858,858
HAC_ori,low,garden,149.46491694623205,936,936
HAC_ori,low,kitchen,57.39874301062537,1365,1365
HAC_ori,low,room,98.82903982205914,1521,1521
HAC_ori,low,stump,186.13890703163148,624,624
HAC_ori,low,treehill,299.7788293948133,702,702
HAC_ori,mid,bicycle,81.22225870773963,975,975
HAC_ori,mid,bonsai,45.57663707897427,1443,1443
HAC_ori,mid,counter,66.38448909363728,1170,1170
HAC_ori,mid,flowers,161.6342536416592,858,858
HAC_ori,mid,garden,62.73056993076301,936,936
HAC_ori,mid,kitchen,32.94454308617941,1365,1365
HAC_ori,mid,room,69.57836459829514,1521,1521
HAC_ori,mid,stump,106.81544137564248,624,624
HAC_ori,mid,treehill,213.84766175664208,702,702
HACplus+CR,high,bicycle,17.256030091244952,975,975
HACplus+CR,high,bonsai,15.09085228981337,1443,1443
HACplus+CR,high,counter,29.290200008566558,1170,1170
HACplus+CR,high,flowers,34.911490692611665,858,858
HACplus+CR,high,garden,14.39808321189605,936,936
HACplus+CR,high,kitchen,16.622180311478814,1365,1365
HACplus+CR,high,room,22.567350216814646,1521,1521
HACplus+CR,high,stump,29.771047786615497,624,624
HACplus+CR,high,treehill,31.493580575489887,702,702
HACplus+CR,low,bicycle,23.48739848934565,975,975
HACplus+CR,low,bonsai,22.551334260856493,1443,1443
HACplus+CR,low,counter,41.44796994614626,1170,1170
HACplus+CR,low,flowers,47.74468814065392,858,858
HACplus+CR,low,garden,25.70642114151184,936,936
HACplus+CR,low,kitchen,25.223010218721925,1365,1365
HACplus+CR,low,room,31.084503706893315,1521,1521
HACplus+CR,low,stump,35.732454190428854,624,624
HACplus+CR,low,treehill,54.665968092070614,702,702
HACplus+CR,mid,bicycle,17.448126878688754,975,975
HACplus+CR,mid,bonsai,16.428317734612165,1443,1443
HACplus+CR,mid,counter,39.83601497501212,1170,1170
HACplus+CR,mid,flowers,36.809598606857776,858,858
HACplus+CR,mid,garden,17.192308553931753,936,936
HACplus+CR,mid,kitchen,17.969691916042507,1365,1365
HACplus+CR,mid,room,25.386767310857408,1521,1521
HACplus+CR,mid,stump,29.58893903373871,624,624
HACplus+CR,mid,treehill,36.01968088830313,702,702
Orig,high,bicycle,61.62529549728578,975,975
Orig,high,bonsai,44.20723906624295,1443,1443
Orig,high,counter,63.18148446536469,1170,1170
Orig,high,flowers,139.8798761158198,858,858
Orig,high,garden,40.57149799718297,936,936
Orig,high,kitchen,28.93409694634255,1365,1365
Orig,high,room,62.1511574457661,1521,1521
Orig,high,stump,83.60061256420462,624,624
Orig,high,treehill,157.08726915802396,702,702
Orig,low,bicycle,165.38872601405689,975,975
Orig,low,bonsai,70.1787688820848,1443,1443
Orig,low,counter,91.3425029848122,1170,1170
Orig,low,flowers,206.76984130712975,858,858
Orig,low,garden,127.01088445375228,936,936
Orig,low,kitchen,61.30036221633577,1365,1365
Orig,low,room,105.73597022585454,1521,1521
Orig,low,stump,224.02951969322606,624,624
Orig,low,treehill,291.97053792807185,702,702
Orig,mid,bicycle,101.38866626296158,975,975
Orig,mid,bonsai,55.500496491755314,1443,1443
Orig,mid,counter,75.75202955454984,1170,1170
Orig,mid,flowers,167.94069702321644,858,858
Orig,mid,garden,70.33469404621036,936,936
Orig,mid,kitchen,42.34579191373098,1365,1365
Orig,mid,room,89.21986661887036,1521,1521
Orig,mid,stump,144.60842899347614,624,624
Orig,mid,treehill,219.26593607771105,702,702
