method,rate,fid_patch,n_fake_patches,n_ref_patches
3DCR,high,6.349987304622232,9594,9594
3DCR,low,10.55868955734121,9594,9594
3DCR,mid,7.413647509437055,9594,9594
HAC_ori,high,34.050724853758254,9594,9594
HAC_ori,low,76.63808133330656,9594,9594
HAC_ori,mid,43.315950062414686,9594,9594
HACplus+CR,high,5.9838994032936625,9594,9594
HACplus+CR,low,10.253370216056055,9594,9594
HACplus+CR,mid,7.074579050453735,9594,9594
Orig,high,33.89405652382197,9594,9594
Orig,low,78.50732483845104,9594,9594
Orig,mid,52.214927680364326,9594,9594
