method,rate,scene,fid,cmmd,n_fake_crops,n_ref_crops
3DCR,high,bicycle,2.8643161977556453,0.2536773681640625,250,250
3DCR,high,bonsai,2.9331109416688648,0.6756782531738281,370,370
3DCR,high,counter,4.925990235982141,0.4507303237915039,300,300
3DCR,high,flowers,6.861928805248091,0.48339366912841797,220,220
3DCR,high,garden,2.19079967101014,0.36585330963134766,240,240
3DCR,high,kitchen,2.720602584204002,0.2741813659667969,350,350
3DCR,high,room,5.252635236170583,0.3917217254638672,390,390
3DCR,high,stump,5.5053490732708426,0.5518198013305664,160,160
3DCR,high,treehill,6.617940676429143,0.5623102188110352,180,180
3DCR,low,bicycle,3.9938533820775213,0.3631114959716797,250,250
3DCR,low,bonsai,4.854787130088045,1.4088153839111328,370,370
3DCR,low,counter,7.657656913945601,0.9577274322509766,300,300
3DCR,low,flowers,9.048483486668783,0.706791877746582,220,220
3DCR,low,garden,3.921700942618642,0.7467269897460938,240,240
3DCR,low,kitchen,4.220004414834516,0.60272216796875,350,350
3DCR,low,room,7.542445838310655,0.7778406143188477,390,390
3DCR,low,stump,7.0525115060356285,0.9317398071289062,160,160
3DCR,low,treehill,9.154743387218844,0.7482767105102539,180,180
3DCR,mid,bicycle,3.2621704567421332,0.31816959381103516,250,250
3DCR,mid,bonsai,3.6910551447403535,0.8243322372436523,370,370
3DCR,mid,counter,5.6706978985492285,0.567317008972168,300,300
3DCR,mid,flowers,7.30772885237986,0.5543231964111328,220,220
3DCR,mid,garden,2.976098262892865,0.5370378494262695,240,240
3DCR,mid,kitchen,3.220983799182072,0.3867149353027344,350,350
3DCR,mid,room,5.704694411123754,0.4903078079223633,390,390
3DCR,mid,stump,5.4473932324354735,0.677943229675293,160,160
3DCR,mid,treehill,7.129541017385556,0.5310773849487305,180,180
HAC_ori,high,bicycle,9.461661089265874,0.7016658782958984,250,250
HAC_ori,high,bonsai,7.954740358706282,1.001119613647461,370,370
HAC_ori,high,counter,10.33091024991127,0.8732080459594727,300,300
HAC_ori,high,flowers,30.04517921600602,1.8215179443359375,220,220
HAC_ori,high,garden,5.384632114826779,1.0628700256347656,240,240
HAC_ori,high,kitchen,4.309784783782472,0.6631612777709961,350,350
HAC_ori,high,room,11.519008597590378,0.6854534149169922,390,390
HAC_ori,high,stump,13.344622531248994,1.2700557708740234,160,160
HAC_ori,high,treehill,35.49457205010187,1.4318227767944336,180,180
HAC_ori,low,bicycle,21.4578283582595,1.4933347702026367,250,250
HAC_ori,low,bonsai,11.402773056937633,1.680135726928711,370,370
HAC_ori,low,counter,17.82938479625665,1.6502141952514648,300,300
HAC_ori,low,flowers,41.28095278952179,2.929091453552246,220,220
HAC_ori,low,garden,17.73979845111031,1.5501976013183594,240,240
HAC_ori,low,kitchen,8.480662135133816,0.8695125579833984,350,350
HAC_ori,low,room,19.20918060357422,1.187443733215332,390,390
HAC_ori,low,stump,35.630403293515435,2.3974180221557617,160,160
