method,rate,group,fid_mean,cmmd_mean,n_scenes
3DCR,high,all9,4.4302970468599385,0.44548511505126953,9
3DCR,high,indoor,3.9580847495063978,0.448077917098999,4
3DCR,high,outdoor,4.8080668847427726,0.44341087341308594,5
3DCR,low,all9,6.382909666866471,0.8048613866170248,9
3DCR,low,indoor,6.0687235742947045,0.9367763996124268,4
3DCR,low,outdoor,6.6342585409238835,0.6993293762207031,5
3DCR,mid,all9,4.934484786159032,0.5430248048570421,9
3DCR,mid,indoor,4.571857813398852,0.5671679973602295,4
3DCR,mid,outdoor,5.224586364367178,0.5237102508544922,5
HAC_ori,high,all9,14.205012332382216,1.0567638609144423,9
HAC_ori,high,indoor,8.528610997497601,0.8057355880737305,4
HAC_ori,high,outdoor,18.74613340028991,1.2575864791870117,5
HAC_ori,low,all9,26.086165417466137,1.8252664142184787,9
HAC_ori,low,indoor,14.23050014797558,1.3468265533447266,4
HAC_ori,low,outdoor,35.57069763305858,2.2080183029174805,5
HAC_ori,mid,all9,16.905020482759568,1.1950863732231989,9
HAC_ori,mid,indoor,9.66980604356845,0.9167790412902832,4
HAC_ori,mid,outdoor,22.69319203411246,1.4177322387695312,5
HACplus+CR,high,all9,4.326756121191437,0.4972616831461589,9
HACplus+CR,high,indoor,3.5320015227201482,0.4786550998687744,4
HACplus+CR,high,outdoor,4.962559799968467,0.5121469497680664,5
HACplus+CR,low,all9,6.225738210357737,0.8255508210923936,9
HACplus+CR,low,indoor,5.181558215820334,0.8999407291412354,4
HACplus+CR,low,outdoor,7.0610822059876615,0.7660388946533203,5
HACplus+CR,mid,all9,4.816122346144848,0.6011724472045898,9
HACplus+CR,mid,indoor,4.2926019930870405,0.613182783126831,4
HACplus+CR,mid,outdoor,5.234938628591095,0.5915641784667969,5
Orig,high,all9,14.185656691468385,1.037650638156467,9
Orig,high,indoor,9.01834652222723,0.8165240287780762,4
Orig,high,outdoor,18.319504826861312,1.2145519256591797,5
Orig,low,all9,27.342489268472473,1.9125805960761175,9
Orig,low,indoor,14.91584042761908,1.3849139213562012,4
Orig,low,outdoor,37.283808341155186,2.334713935852051,5
Orig,mid,all9,19.51886161588287,1.346376207139757,9
Orig,mid,indoor,11.771749827489705,1.0509192943572998,4
Orig,mid,outdoor,25.716551046597402,1.5827417373657227,5
