method,rate,scene,fid,cmmd,n_fake_crops,n_ref_crops
3DCR,high,bicycle,7.758601095525165,0.030875205993652344,250,250
3DCR,high,bonsai,13.261611656206355,0.052928924560546875,370,370
3DCR,high,counter,22.858693735847737,0.026226043701171875,300,300
3DCR,high,flowers,22.8196088682015,0.03910064697265625,220,220
3DCR,high,garden,9.76527827822386,0.006318092346191406,240,240
3DCR,high,kitchen,10.322196862032513,0.015735626220703125,350,350
3DCR,high,room,15.498140151108714,0.048279762268066406,390,390
3DCR,high,stump,34.98003638796504,0.05936622619628906,160,160
3DCR,high,treehill,14.609527214655714,0.055909156799316406,180,180
3DCR,low,bicycle,9.994626825736816,0.04935264587402344,250,250
3DCR,low,bonsai,21.190000359802355,0.14603137969970703,370,370
3DCR,low,counter,35.66363236880801,0.1361370086669922,300,300
3DCR,low,flowers,29.420871596337633,0.07891654968261719,220,220
3DCR,low,garden,14.269299339751626,0.043392181396484375,240,240
3DCR,low,kitchen,17.238502403873014,0.04673004150390625,350,350
3DCR,low,room,24.915264995620362,0.13697147369384766,390,390
3DCR,low,stump,46.12112920742166,0.2142190933227539,160,160
3DCR,low,treehill,20.057962246534487,0.12195110321044922,180,180
3DCR,mid,bicycle,9.015189427039672,0.035881996154785156,250,250
3DCR,mid,bonsai,16.653865662030398,0.09453296661376953,370,370
3DCR,mid,counter,27.223525185084043,0.054001808166503906,300,300
3DCR,mid,flowers,25.008355092235263,0.058650970458984375,220,220
3DCR,mid,garden,11.610587098157083,0.015497207641601562,240,240
3DCR,mid,kitchen,13.451187036440473,0.033855438232421875,350,350
3DCR,mid,room,17.8425236854452,0.06628036499023438,390,390
3DCR,mid,stump,37.943160088833906,0.0833272933959961,160,160
3DCR,mid,treehill,15.68328463470516,0.07736682891845703,180,180
HAC_ori,high,bicycle,12.432417891181444,0.22351741790771484,250,250
HAC_ori,high,bonsai,25.82031300401036,0.25069713592529297,370,370
HAC_ori,high,counter,43.99603130639076,0.17380714416503906,300,300
HAC_ori,high,flowers,79.78747749330878,1.0066032409667969,220,220
HAC_ori,high,garden,13.24361511221258,0.11551380157470703,240,240
HAC_ori,high,kitchen,11.624243138966932,0.16391277313232422,350,350
HAC_ori,high,room,28.098430963412852,0.1875162124633789,390,390
HAC_ori,high,stump,54.61926159921205,0.31816959381103516,160,160
HAC_ori,high,treehill,35.72914610895464,0.756382942199707,180,180
HAC_ori,low,bicycle,27.83738447362839,0.7778406143188477,250,250
HAC_ori,low,bonsai,40.358885020520916,0.5267858505249023,370,370
HAC_ori,low,counter,87.22093593000437,0.7845163345336914,300,300
HAC_ori,low,flowers,109.85719184084607,1.7658472061157227,220,220
HAC_ori,low,garden,29.51592149097135,0.45418739318847656,240,240
HAC_ori,low,kitchen,27.86585671689184,0.30612945556640625,350,350
HAC_ori,low,room,73.9605321737439,0.5638599395751953,390,390
HAC_ori,low,stump,129.79526775849817,0.8671283721923828,160,160
HAC_ori,low,treehill,72.81240980086437,1.394033432006836,180,180
HAC_ori,mid,bicycle,14.8746115530665,0.286102294921875,250,250
HAC_ori,mid,bonsai,28.122491839338636,0.3027915954589844,370,370
HAC_ori,mid,counter,50.741161456184045,0.20432472229003906,300,300
HAC_ori,mid,flowers,84.31293324875679,1.1696815490722656,220,220
HAC_ori,mid,garden,15.288021126635925,0.15020370483398438,240,240
HAC_ori,mid,kitchen,13.977988930138906,0.1914501190185547,350,350
HAC_ori,mid,room,34.508648464613316,0.23162364959716797,390,390
HAC_ori,mid,stump,66.38802000639168,0.39327144622802734,160,160
HAC_ori,mid,treehill,39.31344666074301,0.8461475372314453,180,180
HACplus+CR,high,bicycle,7.7511080351674195,0.04506111145019531,250,250
HACplus+CR,high,bonsai,12.807912903045803,0.06270408630371094,370,370
HACplus+CR,high,counter,22.43494808949481,0.02372264862060547,300,300
HACplus+CR,high,flowers,22.8757466374376,0.06449222564697266,220,220
HACplus+CR,high,garden,9.728321953844755,0.0054836273193359375,240,240
HACplus+CR,high,kitchen,9.876011366644747,0.01811981201171875,350,350
HACplus+CR,high,room,13.475343013002885,0.034332275390625,390,390
HACplus+CR,high,stump,34.23227901214938,0.043511390686035156,160,160
HACplus+CR,high,treehill,14.576789651571403,0.05435943603515625,180,180
HACplus+CR,low,bicycle,9.455935085051152,0.05793571472167969,250,250
HACplus+CR,low,bonsai,18.133035951519332,0.10073184967041016,370,370
HACplus+CR,low,counter,31.268125223169022,0.09143352508544922,300,300
HACplus+CR,low,flowers,28.38393261866679,0.10979175567626953,220,220
HACplus+CR,low,garden,13.129809766718893,0.032782554626464844,240,240
HACplus+CR,low,kitchen,15.953910087762097,0.04100799560546875,350,350
HACplus+CR,low,room,20.362395916831247,0.0743865966796875,390,390
HACplus+CR,low,stump,38.96806299030729,0.09751319885253906,160,160
HACplus+CR,low,treehill,21.172409204395052,0.11324882507324219,180,180
HACplus+CR,mid,bicycle,8.314298080194561,0.03933906555175781,250,250
HACplus+CR,mid,bonsai,14.00142935081584,0.0743865966796875,370,370
HACplus+CR,mid,counter,30.957730176417726,0.04744529724121094,300,300
HACplus+CR,mid,flowers,24.973703068958798,0.06687641143798828,220,220
HACplus+CR,mid,garden,10.919008408682515,0.008940696716308594,240,240
HACplus+CR,mid,kitchen,11.15428419629768,0.023603439331054688,350,350
HACplus+CR,mid,room,15.043821291181303,0.040411949157714844,390,390
HACplus+CR,mid,stump,32.838086618109,0.04029273986816406,160,160
HACplus+CR,mid,treehill,15.72463870465856,0.05888938903808594,180,180
Orig,high,bicycle,13.895753026620497,0.25582313537597656,250,250
Orig,high,bonsai,28.334245483980283,0.2765655517578125,370,370
Orig,high,counter,46.408554632269215,0.1996755599975586,300,300
Orig,high,flowers,80.56148250432824,0.9478330612182617,220,220
Orig,high,garden,13.103843386301321,0.11730194091796875,240,240
Orig,high,kitchen,12.351163280218486,0.1952648162841797,350,350
Orig,high,room,31.528235080363856,0.2053976058959961,390,390
Orig,high,stump,60.66023678377752,0.34308433532714844,160,160
Orig,high,treehill,34.58999610672697,0.7729530334472656,180,180
Orig,low,bicycle,37.70909491824304,0.998377799987793,250,250
Orig,low,bonsai,47.118693695100006,0.6302595138549805,370,370
Orig,low,counter,84.9953428944674,0.7941722869873047,300,300
Orig,low,flowers,110.95473724227162,1.8595457077026367,220,220
Orig,low,garden,28.385991251306507,0.5249977111816406,240,240
Orig,low,kitchen,31.06633686140566,0.33032894134521484,350,350
Orig,low,room,86.5381276070434,0.7270574569702148,390,390
Orig,low,stump,176.89778103270567,1.3877153396606445,160,160
Orig,low,treehill,87.25296987619225,1.5822649002075195,180,180
Orig,mid,bicycle,18.410122090716925,0.40149688720703125,250,250
Orig,mid,bonsai,36.592778859206305,0.40841102600097656,370,370
Orig,mid,counter,63.11259705384981,0.3508329391479492,300,300
Orig,mid,flowers,93.91922817729403,1.3055801391601562,220,220
Orig,mid,garden,19.027405891289504,0.23734569549560547,240,240
Orig,mid,kitchen,19.286521434613007,0.26619434356689453,350,350
Orig,mid,room,53.98233465518251,0.3985166549682617,390,390
Orig,mid,stump,106.7049761731385,0.6946325302124023,160,160
Orig,mid,treehill,52.146475777183696,1.0160207748413086,180,180
