dataset,method,rate,group,fid_mean,cmmd_mean,n_scenes
CAT3DGSPro_organized,3DCR,high,all9,27.324409493677948,0.2657175064086914,9
CAT3DGSPro_organized,3DCR,high,indoor,29.07796004791416,0.18960237503051758,4
CAT3DGSPro_organized,3DCR,high,outdoor,25.921569050288973,0.32660961151123047,5
CAT3DGSPro_organized,3DCR,low,all9,37.900997192404134,0.5005200703938802,9
CAT3DGSPro_organized,3DCR,low,indoor,41.8049362978378,0.39315223693847656,4
CAT3DGSPro_organized,3DCR,low,outdoor,34.7778459080572,0.5864143371582031,5
CAT3DGSPro_organized,3DCR,mid,all9,30.831308262467058,0.3514157401190864,9
CAT3DGSPro_organized,3DCR,mid,indoor,33.295224211382546,0.2485811710357666,4
CAT3DGSPro_organized,3DCR,mid,outdoor,28.860175503334666,0.4336833953857422,5
CAT3DGSPro_organized,Orig,high,all9,64.4894290612609,0.6472004784478081,9
CAT3DGSPro_organized,Orig,high,indoor,54.632460549665666,0.4875659942626953,4
CAT3DGSPro_organized,Orig,high,outdoor,72.37500387053709,0.7749080657958984,5
CAT3DGSPro_organized,Orig,low,all9,113.79837750285866,1.225047641330295,9
CAT3DGSPro_organized,Orig,low,indoor,84.65414347719923,0.8801519870758057,4
CAT3DGSPro_organized,Orig,low,outdoor,137.1137647233862,1.5009641647338867,5
CAT3DGSPro_organized,Orig,mid,all9,86.69017236205562,0.9033547507392036,9
CAT3DGSPro_organized,Orig,mid,indoor,68.88592441411498,0.6736516952514648,4
CAT3DGSPro_organized,Orig,mid,outdoor,100.93357072040813,1.0871171951293945,5
CAT3DGSPro_wdr_pw,3DCR,high,all9,27.303309542912938,0.20297368367513022,6
CAT3DGSPro_wdr_pw,3DCR,high,indoor,29.971875335561474,0.19089380900065103,3
CAT3DGSPro_wdr_pw,3DCR,high,outdoor,24.634743750264402,0.21505355834960938,3
CAT3DGSPro_wdr_pw,3DCR,low,all9,38.94966339364297,0.41490793228149414,6
CAT3DGSPro_wdr_pw,3DCR,low,indoor,44.129092955821285,0.3872315088907878,3
CAT3DGSPro_wdr_pw,3DCR,low,outdoor,33.77023383146466,0.4425843556722005,3
CAT3DGSPro_wdr_pw,3DCR,mid,all9,31.730821167832516,0.2776185671488444,6
