method,rate,group,fid_mean,cmmd_mean,n_scenes
3DCR,high,all9,27.324409493677948,0.2657175064086914,9
3DCR,high,indoor,29.07796004791416,0.18960237503051758,4
3DCR,high,outdoor,25.921569050288973,0.32660961151123047,5
3DCR,low,all9,37.900997192404134,0.5005200703938802,9
3DCR,low,indoor,41.8049362978378,0.39315223693847656,4
3DCR,low,outdoor,34.7778459080572,0.5864143371582031,5
3DCR,mid,all9,30.831308262467058,0.3514157401190864,9
3DCR,mid,indoor,33.295224211382546,0.2485811710357666,4
3DCR,mid,outdoor,28.860175503334666,0.4336833953857422,5
Orig,high,all9,64.4894290612609,0.6472004784478081,9
Orig,high,indoor,54.632460549665666,0.4875659942626953,4
Orig,high,outdoor,72.37500387053709,0.7749080657958984,5
Orig,low,all9,113.79837750285866,1.225047641330295,9
Orig,low,indoor,84.65414347719923,0.8801519870758057,4
Orig,low,outdoor,137.1137647233862,1.5009641647338867,5
Orig,mid,all9,86.69017236205562,0.9033547507392036,9
Orig,mid,indoor,68.88592441411498,0.6736516952514648,4
Orig,mid,outdoor,100.93357072040813,1.0871171951293945,5
