method,rate,scene,n_images,musiq_mean,maniqa_mean,clipiqa_mean,niqe_mean,fid
3DCR,high,bicycle,25,71.47497573852539,0.34339601755142213,0.41680601716041565,2.3471792657128514,9.372615051367603
3DCR,high,bonsai,37,61.62121664511191,0.24618856649141055,0.30552727668672,5.196408690366848,14.784367034614746
3DCR,high,counter,30,60.52831344604492,0.2692703704039256,0.3553000330924988,3.7047410543014596,25.936721119782135
3DCR,high,flowers,22,73.57294290715998,0.3442856005646966,0.5899578549645164,2.0806847945753075,25.42650988815869
3DCR,high,garden,24,72.92855040232341,0.40352167810002965,0.6082857213914394,2.0182563820005273,9.794704858534686
3DCR,high,kitchen,35,68.29680949619838,0.323672149011067,0.4059962340763637,3.8239387871709734,9.0569552025255
3DCR,high,room,39,51.98038423978365,0.2593902872923093,0.3238842540826553,4.107632288846401,12.617968719153225
3DCR,high,stump,16,60.25238847732544,0.2674985146149993,0.374008821323514,3.2757476709576774,40.41936240878158
3DCR,high,treehill,18,60.8421507941352,0.2848628345463011,0.4194732738865746,2.5125496335441433,17.608166752248252
3DCR,low,bicycle,25,70.39658813476562,0.32638261675834657,0.47957281112670896,2.527362511668569,11.942332649340557
3DCR,low,bonsai,37,60.525699718578444,0.23876356192537257,0.3306298344521909,4.694745897612285,24.798899652715363
3DCR,low,counter,30,58.11297607421875,0.2490838959813118,0.37474340498447417,3.8620121450967138,41.98502966772469
3DCR,low,flowers,22,72.97548155351119,0.32528476823459973,0.6133455742489208,2.0336816496960206,28.991954734565553
3DCR,low,garden,24,72.01132424672444,0.36492982506752014,0.6208790863553683,2.095907984577005,14.66199639088731
3DCR,low,kitchen,35,67.97960848127093,0.3200101673603058,0.40392598594938006,3.7022694592237535,18.719125566376846
3DCR,low,room,39,49.539481921073715,0.2610575904448827,0.3245023779380016,3.399852393869495,23.244005394604415
3DCR,low,stump,16,59.3319194316864,0.25741987209767103,0.4369720872491598,3.425465217286117,55.37738693857315
3DCR,low,treehill,18,56.96591928270128,0.2794499033027225,0.47946291002962327,2.5603375890605866,20.883392967420264
3DCR,mid,bicycle,25,70.88886444091797,0.331817764043808,0.4321698427200317,2.4876143449574575,10.155355171040554
3DCR,mid,bonsai,37,61.14877422435863,0.24443676060921438,0.30787826430153203,4.25358892820852,19.94947674447704
3DCR,mid,counter,30,59.98918418884277,0.2621183251341184,0.3687961339950562,3.8669440813913343,30.616992390441226
3DCR,mid,flowers,22,73.58019638061523,0.33147970654747705,0.6043740158731287,2.1563872830054653,22.980942410756512
