method,rate,n_images,musiq_mean,maniqa_mean,clipiqa_mean,niqe_mean,fid
3DCR,high,246,63.936662658443296,0.3003375840380909,0.40787644290584857,3.4470545789399147,13.007550343024604
3DCR,low,246,62.4492300855435,0.2882574507739486,0.43201022371044,3.296178893466833,19.79864109262809
3DCR,mid,246,63.557985615924125,0.2954119414817996,0.4234859638703548,3.2634459195644205,15.356644063743659
HAC_ori,high,246,60.88870716870316,0.30284924326631113,0.4303773313276167,4.047425936184384,21.751534421311703
HAC_ori,low,246,55.708311484112,0.2845254096437276,0.38423889124296545,5.005323213822569,39.86664101575167
HAC_ori,mid,246,59.87511180474506,0.29928626338156256,0.42305300221210573,4.272250129044056,24.98361246467789
HACplus+CR,high,246,63.90166581936968,0.2976449655929232,0.4190963715678308,3.477346765045096,12.53724106435368
HACplus+CR,low,246,62.35241844983605,0.286490048516572,0.4267448745970804,3.6628183485091594,17.441163729684092
HACplus+CR,mid,246,63.357250477240335,0.2911918404383388,0.4222016874246481,3.5453862901679862,14.18461551202239
Orig,high,246,61.13551687225094,0.30570078320134947,0.4332729273937582,4.053608903945421,23.63110536682626
Orig,low,246,56.42274059512751,0.28852535972023396,0.3848298360419467,4.9986741306453615,49.809378340189426
Orig,mid,246,59.34135657985036,0.2997911351361895,0.4132905408618896,4.4899157333260336,33.70258186639478
