method,scene,fid,cmmd,n_fake_crops,n_ref_crops
2dgs,bicycle,19.657707717037233,1.2398958206176758,250,250
2dgs,bonsai,41.931189672969055,1.068115234375,370,370
2dgs,counter,43.483585378500834,0.6116628646850586,300,300
2dgs,flowers,59.247651805822386,3.351449966430664,220,220
2dgs,garden,15.167489056616155,0.926971435546875,240,240
2dgs,kitchen,17.94766374657165,0.3522634506225586,350,350
2dgs,room,30.112562346086776,0.42700767517089844,390,390
2dgs,stump,41.481867931593804,1.954793930053711,160,160
2dgs,treehill,61.46783176924927,2.303600311279297,180,180
2dgs_crn_wd,bicycle,5.044444036780007,0.5464553833007812,250,250
2dgs_crn_wd,bonsai,22.317244668121617,1.135110855102539,370,370
2dgs_crn_wd,counter,24.103117910050685,0.4630088806152344,300,300
2dgs_crn_wd,flowers,12.460937907058636,0.8487701416015625,220,220
2dgs_crn_wd,garden,4.71268229023044,0.3139972686767578,240,240
2dgs_crn_wd,kitchen,12.908704496646095,0.35452842712402344,350,350
2dgs_crn_wd,room,15.147780660635277,0.36263465881347656,390,390
2dgs_crn_wd,stump,20.92697144149404,0.9747743606567383,160,160
2dgs_crn_wd,treehill,13.670088137293547,0.8324384689331055,180,180
2dgs_textured,bicycle,19.8717822366915,1.2981891632080078,250,250
2dgs_textured,bonsai,47.795014461221484,1.3426542282104492,370,370
2dgs_textured,counter,51.05762886209797,0.9316205978393555,300,300
2dgs_textured,flowers,64.89322452067152,3.5774707794189453,220,220
2dgs_textured,garden,17.253007622361096,1.0743141174316406,240,240
2dgs_textured,kitchen,21.430208366799192,0.3625154495239258,350,350
2dgs_textured,room,34.172033805516406,0.46885013580322266,390,390
2dgs_textured,stump,48.73922151876867,1.9832849502563477,160,160
2dgs_textured,treehill,68.23194924531117,2.5124549865722656,180,180
2dgs_textured_crn_wd,bicycle,5.805045016584387,0.7807016372680664,250,250
2dgs_textured_crn_wd,bonsai,28.410162546348204,1.4350414276123047,370,370
2dgs_textured_crn_wd,counter,29.163997670784312,0.99945068359375,300,300
2dgs_textured_crn_wd,flowers,14.287775216448203,0.9791851043701172,220,220
2dgs_textured_crn_wd,garden,5.452088973378494,0.42760372161865234,240,240
2dgs_textured_crn_wd,kitchen,16.20736083519526,0.521540641784668,350,350
2dgs_textured_crn_wd,room,19.38782275053447,0.5183219909667969,390,390
2dgs_textured_crn_wd,stump,24.440220408037412,0.9918212890625,160,160
2dgs_textured_crn_wd,treehill,15.543293874623046,0.8658170700073242,180,180
