method,group,fid_mean,cmmd_mean,n_scenes
2dgs,all9,36.72194993604969,1.3595289654201932,9
2dgs,indoor,33.36875028603208,0.6147623062133789,4
2dgs,outdoor,39.40450965606377,1.9553422927856445,5
2dgs_crn_wd,all9,14.587996838701152,0.6479687160915799,9
2dgs_crn_wd,indoor,18.61921193386342,0.5788207054138184,4
2dgs_crn_wd,outdoor,11.363024762571333,0.7032871246337891,5
2dgs_textured,all9,41.493785626604335,1.5057060453626845,9
2dgs_textured,indoor,38.61372137390876,0.7764101028442383,4
2dgs_textured,outdoor,43.797837028760796,2.0891427993774414,5
2dgs_textured_crn_wd,all9,17.63308525465931,0.8354981740315756,9
2dgs_textured_crn_wd,indoor,23.29233595071556,0.8685886859893799,4
2dgs_textured_crn_wd,outdoor,13.105684697814308,0.809025764465332,5
