method,scene,fid,cmmd,n_fake_crops,n_ref_crops
2dgs,bicycle,24.510045406018577,0.48804283142089844,250,250
2dgs,bonsai,61.061874946180325,0.8198022842407227,370,370
2dgs,counter,65.49210568165489,0.41174888610839844,300,300
2dgs,flowers,135.04759904973886,2.0807981491088867,220,220
2dgs,garden,23.394373603936202,0.26917457580566406,240,240
2dgs,kitchen,21.541598639424393,0.33020973205566406,350,350
2dgs,room,39.74480549866024,0.3542900085449219,390,390
2dgs,stump,115.9012925616496,0.7369518280029297,160,160
2dgs,treehill,75.23024243492273,1.3920068740844727,180,180
2dgs_crn_wd,bicycle,10.723385496518546,0.05233287811279297,250,250
2dgs_crn_wd,bonsai,29.989272085108382,0.7420778274536133,370,370
2dgs_crn_wd,counter,32.29571726659418,0.2542734146118164,300,300
2dgs_crn_wd,flowers,32.09274889989851,0.17964839935302734,220,220
2dgs_crn_wd,garden,12.798918391736152,0.030875205993652344,240,240
2dgs_crn_wd,kitchen,16.352752791734446,0.1919269561767578,350,350
2dgs_crn_wd,room,19.024674151460886,0.20885467529296875,390,390
2dgs_crn_wd,stump,50.83954494098484,0.1964569091796875,160,160
2dgs_crn_wd,treehill,19.478114446936985,0.17905235290527344,180,180
2dgs_textured,bicycle,26.05846944424249,0.45013427734375,250,250
2dgs_textured,bonsai,71.76963126957293,1.0145902633666992,370,370
2dgs_textured,counter,77.93216364906479,0.6017684936523438,300,300
2dgs_textured,flowers,152.1732038207807,2.2895336151123047,220,220
2dgs_textured,garden,25.629806138462612,0.3039836883544922,240,240
2dgs_textured,kitchen,27.63671761409927,0.32019615173339844,350,350
2dgs_textured,room,46.09934919070071,0.3898143768310547,390,390
2dgs_textured,stump,134.16327298391516,0.750422477722168,160,160
2dgs_textured,treehill,82.16248485841396,1.547098159790039,180,180
2dgs_textured_crn_wd,bicycle,11.062061481595975,0.0743865966796875,250,250
2dgs_textured_crn_wd,bonsai,37.82265098579228,1.0037422180175781,370,370
2dgs_textured_crn_wd,counter,38.300987277022216,0.552058219909668,300,300
2dgs_textured_crn_wd,flowers,35.50354925555442,0.2636909484863281,220,220
2dgs_textured_crn_wd,garden,13.882180944191845,0.03170967102050781,240,240
2dgs_textured_crn_wd,kitchen,19.722669706163202,0.26416778564453125,350,350
2dgs_textured_crn_wd,room,24.566410778061595,0.3364086151123047,390,390
2dgs_textured_crn_wd,stump,56.83580550021691,0.2472400665283203,160,160
2dgs_textured_crn_wd,treehill,20.48752441875311,0.1926422119140625,180,180
