method,group,fid_mean,cmmd_mean,n_scenes
2dgs,all9,62.435993091353986,0.7647805743747287,9
2dgs,indoor,46.96009619147996,0.47901272773742676,4
2dgs,outdoor,74.81671061125319,0.9933948516845703,5
2dgs_crn_wd,all9,24.843903163441436,0.22616651323106554,9
2dgs_crn_wd,indoor,24.415604073724474,0.34928321838378906,4
2dgs_crn_wd,outdoor,25.186542435215006,0.12767314910888672,5
2dgs_textured,all9,71.51389988547251,0.8519490559895834,9
2dgs_textured,indoor,55.85946543085942,0.581592321395874,4
2dgs_textured,outdoor,84.03744744916298,1.0682344436645508,5
2dgs_textured_crn_wd,all9,28.687093371927947,0.32956070370144314,9
2dgs_textured_crn_wd,indoor,30.103179686759823,0.5390942096710205,4
2dgs_textured_crn_wd,outdoor,27.554224320062453,0.16193389892578125,5
