method,scene,fid,cmmd,n_fake_crops,n_ref_crops
2dgs,bicycle,24.003757771456257,1.6175508499145508,250,250
2dgs,bonsai,56.46643972921575,1.6919374465942383,370,370
2dgs,counter,56.654035933191324,1.1889934539794922,300,300
2dgs,flowers,69.3356778912825,4.08482551574707,220,220
2dgs,garden,23.391366372572985,1.2254714965820312,240,240
2dgs,kitchen,25.592885679193316,0.45359134674072266,350,350
2dgs,room,40.01464321408983,0.661015510559082,390,390
2dgs,stump,56.092069972401745,2.4962425231933594,160,160
2dgs,treehill,75.49415070214138,2.73740291595459,180,180
2dgs_crn_wd,bicycle,5.657717975544038,0.6960630416870117,250,250
2dgs_crn_wd,bonsai,29.367731152137424,1.5637874603271484,370,370
2dgs_crn_wd,counter,30.228796526849038,0.8594989776611328,300,300
2dgs_crn_wd,flowers,15.213158247273348,1.1256933212280273,220,220
2dgs_crn_wd,garden,5.803014178960474,0.42307376861572266,240,240
2dgs_crn_wd,kitchen,16.36337966116656,0.49889087677001953,350,350
2dgs_crn_wd,room,19.34001401281796,0.47147274017333984,390,390
2dgs_crn_wd,stump,21.959731144867888,0.988006591796875,160,160
2dgs_crn_wd,treehill,15.09553099706578,1.1698007583618164,180,180
2dgs_textured,bicycle,19.8717822366915,1.2981891632080078,250,250
2dgs_textured,bonsai,47.795014461221484,1.3426542282104492,370,370
2dgs_textured,counter,51.05762886209797,0.9316205978393555,300,300
2dgs_textured,flowers,64.89322452067152,3.5774707794189453,220,220
2dgs_textured,garden,17.253007622361096,1.0743141174316406,240,240
2dgs_textured,kitchen,21.430208366799192,0.3625154495239258,350,350
2dgs_textured,room,34.172033805516406,0.46885013580322266,390,390
2dgs_textured,stump,48.73922151876867,1.9832849502563477,160,160
2dgs_textured,treehill,68.23194924531117,2.5124549865722656,180,180
2dgs_textured_crn_wd,bicycle,5.805045016584387,0.7807016372680664,250,250
2dgs_textured_crn_wd,bonsai,28.410162546348204,1.4350414276123047,370,370
2dgs_textured_crn_wd,counter,29.163997670784312,0.99945068359375,300,300
2dgs_textured_crn_wd,flowers,14.287775216448203,0.9791851043701172,220,220
2dgs_textured_crn_wd,garden,5.452088973378494,0.42760372161865234,240,240
2dgs_textured_crn_wd,kitchen,16.20736083519526,0.521540641784668,350,350
2dgs_textured_crn_wd,room,19.38782275053447,0.5183219909667969,390,390
2dgs_textured_crn_wd,stump,24.440220408037412,0.9918212890625,160,160
2dgs_textured_crn_wd,treehill,15.543293874623046,0.8658170700073242,180,180
