method,scene,fid,cmmd,n_fake_patches,n_ref_patches
high_rate_size9.32,bicycle,24.26154323393962,0.2778768539428711,975,975
high_rate_size9.32,bonsai,43.13491193589641,0.5049705505371094,1443,1443
high_rate_size9.32,counter,63.55344845531158,0.8006095886230469,1170,1170
high_rate_size9.32,flowers,42.30680514990752,0.7385015487670898,858,858
high_rate_size9.32,garden,24.28510601299513,0.20515918731689453,936,936
high_rate_size9.32,kitchen,28.149053072555432,0.20515918731689453,1365,1365
high_rate_size9.32,room,50.8032014154922,0.6133317947387695,1521,1521
high_rate_size9.32,stump,26.728762633602486,0.80108642578125,624,624
high_rate_size9.32,treehill,48.46406105508021,0.8102655410766602,702,702
low_rate_size1.35,bicycle,97.51264659248079,1.5819072723388672,975,975
low_rate_size1.35,bonsai,79.32210610130733,0.8966922760009766,1443,1443
low_rate_size1.35,counter,102.82524066343888,1.4513731002807617,1170,1170
low_rate_size1.35,flowers,104.18300091259903,2.161860466003418,858,858
low_rate_size1.35,garden,128.24697838354246,2.402186393737793,936,936
low_rate_size1.35,kitchen,60.416999542217695,0.6803274154663086,1365,1365
low_rate_size1.35,room,92.37988607965224,1.1224746704101562,1521,1521
low_rate_size1.35,stump,95.62396700907644,1.798391342163086,624,624
low_rate_size1.35,treehill,158.15187358210437,2.0170211791992188,702,702
mid_rate_size3.2,bicycle,45.315868692331094,0.7729530334472656,975,975
mid_rate_size3.2,bonsai,58.45190764589586,0.6279945373535156,1443,1443
mid_rate_size3.2,counter,89.00237778898372,1.19781494140625,1170,1170
mid_rate_size3.2,flowers,62.41410799899052,1.349806785583496,858,858
mid_rate_size3.2,garden,62.185492928964436,1.3333559036254883,936,936
mid_rate_size3.2,kitchen,40.85965142337972,0.40531158447265625,1365,1365
mid_rate_size3.2,room,74.61438889848642,0.928044319152832,1521,1521
mid_rate_size3.2,stump,47.046004868978656,1.1305809020996094,624,624
mid_rate_size3.2,treehill,91.77506226908861,1.372218132019043,702,702
wdr_refine_15k_same_psnr_as_catpro,bicycle,50.69166259144146,0.5041360855102539,975,975
wdr_refine_15k_same_psnr_as_catpro,bonsai,45.40564505820498,0.3979206085205078,1443,1443
wdr_refine_15k_same_psnr_as_catpro,counter,73.66638620368764,0.577092170715332,1170,1170
wdr_refine_15k_same_psnr_as_catpro,flowers,72.68837073112951,0.8870363235473633,858,858
wdr_refine_15k_same_psnr_as_catpro,garden,59.09179562857304,0.4584789276123047,936,936
wdr_refine_15k_same_psnr_as_catpro,kitchen,44.46265695408226,0.26023387908935547,1365,1365
wdr_refine_15k_same_psnr_as_catpro,room,49.71717328087783,0.4489421844482422,1521,1521
wdr_refine_15k_same_psnr_as_catpro,stump,76.94809819654509,1.1366605758666992,624,624
wdr_refine_15k_same_psnr_as_catpro,treehill,101.17301791311291,0.8723735809326172,702,702
wdr_refinement_15k_highrate,bicycle,23.457034701353052,0.12969970703125,975,975
wdr_refinement_15k_highrate,bonsai,22.53377440604197,0.1691579818725586,1443,1443
wdr_refinement_15k_highrate,counter,45.17355634502064,0.28204917907714844,1170,1170
wdr_refinement_15k_highrate,flowers,41.70700075328921,0.3859996795654297,858,858
wdr_refinement_15k_highrate,garden,21.789541439329128,0.07486343383789062,936,936
wdr_refinement_15k_highrate,kitchen,21.575540981328857,0.06866455078125,1365,1365
wdr_refinement_15k_highrate,room,26.402749657899278,0.2027750015258789,1521,1521
wdr_refinement_15k_highrate,stump,30.17217484353216,0.39327144622802734,624,624
wdr_refinement_15k_highrate,treehill,36.93930014874587,0.36406517028808594,702,702
wdr_refinement_15k_lowrate,bicycle,33.3263374603938,0.39899349212646484,975,975
wdr_refinement_15k_lowrate,bonsai,37.003484642053024,0.25904178619384766,1443,1443
wdr_refinement_15k_lowrate,counter,60.56938381596069,0.47981739044189453,1170,1170
wdr_refinement_15k_lowrate,flowers,56.66591969077956,0.7041692733764648,858,858
wdr_refinement_15k_lowrate,garden,33.75025006229697,0.3559589385986328,936,936
wdr_refinement_15k_lowrate,kitchen,36.06415625752743,0.1443624496459961,1365,1365
wdr_refinement_15k_lowrate,room,39.70783468752143,0.4316568374633789,1521,1521
wdr_refinement_15k_lowrate,stump,53.056313962838686,0.8767843246459961,624,624
wdr_refinement_15k_lowrate,treehill,59.831984995193466,0.7147789001464844,702,702
wdr_refinement_15k_midrate,bicycle,27.495388356210867,0.20885467529296875,975,975
wdr_refinement_15k_midrate,bonsai,28.61173144761142,0.20325183868408203,1443,1443
wdr_refinement_15k_midrate,counter,53.118696162383,0.3873109817504883,1170,1170
wdr_refinement_15k_midrate,flowers,47.53096765335522,0.4934072494506836,858,858
wdr_refinement_15k_midrate,garden,27.411561499760637,0.1481771469116211,936,936
wdr_refinement_15k_midrate,kitchen,27.238930739659907,0.08654594421386719,1365,1365
wdr_refinement_15k_midrate,room,33.146839911199436,0.3274679183959961,1521,1521
wdr_refinement_15k_midrate,stump,41.32219817691356,0.5859136581420898,624,624
wdr_refinement_15k_midrate,treehill,43.36678946691001,0.42259693145751953,702,702
